,Average account balance,TN debtor transactions,TN creditor transactions,TN transactions,average debtor transaction,average creditor transaction,DBNCD,DFACD,Label
5563,0.7371694274316205,2.332459091383508e-08,1.8659672731068066e-08,4.198426364490315e-08,0.11500170423901838,0.5248032955612894,-4.6649181827670166e-09,0.40980159132227095,2
5564,0.5035478052454954,2.2314879305648834e-08,1.593919950403488e-08,3.8254078809683716e-08,0.39970810292265796,0.703237482118019,-6.375679801613953e-09,0.30352937919536105,0
5565,0.40307283465930693,1.2792293687902197e-07,4.8610716014028354e-08,1.7653365289305033e-07,0.15711548323423222,0.7112126148899637,-7.931222086499363e-08,0.5540971316557314,0
5566,0.8698606553582043,2.3199646986953463e-07,1.2152196040785148e-07,3.535184302773861e-07,0.20295682546008464,0.402771650920295,-1.1047450946168316e-07,0.19981482546021037,2
5567,0.13095772227694025,3.2448604955230733e-08,5.408100825871789e-08,8.652961321394863e-08,0.7458477969176845,0.6453359675064329,2.1632403303487158e-08,-0.10051182941125163,1
5568,0.6562807775474344,1.5434339833764277e-07,2.8490957044489195e-06,3.003439102786562e-06,0.6020968548122824,0.1881001933892973,2.694752306111277e-06,-0.4139966614229851,1
5569,0.2940999796342071,9.35948765487016e-09,5.615692592922097e-09,1.4975180247792257e-08,0.6845199330113226,0.666801099449099,-3.743795061948064e-09,-0.017718833562223615,1
5570,0.791647248598984,1.1090772945227198e-07,1.5224606497539153e-06,1.6333683792061874e-06,0.44664553609215313,0.03089579305023874,1.4115529203016433e-06,-0.4157497430419144,2
5571,0.7772560407955,4.110724158155271e-07,9.756779025982993e-07,1.3867503184138264e-06,0.45904353163114003,0.42926109737667906,5.646054867827722e-07,-0.029782434254460952,2
5572,0.24244826821554968,1.0048884270492008e-07,1.70058041500634e-07,2.7054688420555406e-07,0.7642305762740357,0.5625955871601338,6.95691987957139e-08,-0.20163498911390182,1
5573,0.4691161184786626,8.676550010580217e-08,1.4660377604083815e-07,2.333692761466403e-07,0.6812136893632951,0.5453651552816065,5.983827593503598e-08,-0.13584853408168868,1
5574,0.9762945040222172,1.2455092956394365e-07,2.6155695208428166e-07,3.861078816482253e-07,0.17585841457832868,0.07276727389074271,1.37006022520338e-07,-0.10309114068758599,2
5575,0.9745223468366082,2.1136689701477836e-07,6.216673441611128e-08,2.735336314308896e-07,0.18272850395459428,0.10189127149133294,-1.4920016259866708e-07,-0.08083723246326133,2
5576,0.4668816337497344,2.3548350061613905e-07,5.961607610535166e-08,2.9509957672149074e-07,0.49884669768725026,0.7015016044458988,-1.758674245107874e-07,0.20265490675864858,0
5577,0.163215527370891,3.1392689793022416e-07,1.355830456177048e-07,4.4950994354792895e-07,0.28467966069275175,0.7949487974187265,-1.783438523125194e-07,0.5102691367259746,0
5578,0.9050488126276156,6.944676321798373e-08,3.703827371625799e-07,4.398295003805636e-07,0.32351723138748334,0.05246189055070858,3.0093597394459616e-07,-0.2710553408367748,2
5579,0.5749937104060908,8.38435562488133e-07,6.177946249912559e-07,1.456230187479389e-06,0.4538330604647068,0.6514371792201495,-2.206409374968771e-07,0.19760411875544276,0
5580,0.9941249049230225,5.090369257510515e-08,1.1453330829398658e-07,1.6543700086909172e-07,0.07963591916031365,0.006630205957907445,6.362961571888143e-08,-0.0730057132024062,2
